split,mean_daily_pearson_ic,mean_daily_spearman_ic,std_daily_spearman_ic,ic_ir,n_days
test,0.009688386248595627,0.007756261800975458,0.19452443860106208,0.03987294273539731,752
train,0.09625252670068854,0.10184916594662007,0.15720367455453096,0.6478803134546993,2224
validation,0.03598645613554045,0.03573609545182738,0.20541344986667084,0.17397154604541648,757
