date,n_stocks,daily_pearson_ic,daily_spearman_ic,split
2010-03-03,616,0.018568619652291094,0.046698896532867,train
2010-03-04,615,0.05588646904182577,0.10381928922516546,train
2010-03-05,617,0.21894848460867886,0.22343550114257893,train
2010-03-08,617,0.037077367883158914,0.036059067964693894,train
2010-03-09,615,0.1931734343138264,0.1708131647750481,train
2010-03-10,618,0.1688664299656565,0.23339920549472024,train
2010-03-11,619,0.21598569404939388,0.21898456602421218,train
2010-03-12,621,-0.06502744882409511,-0.019872348598492805,train
2010-03-15,618,0.2184647347010831,0.19976317081447018,train
2010-03-16,617,0.12800256800431692,0.12631098119529188,train
2010-03-17,617,0.15797664300170633,0.16934964967924457,train
2010-03-18,618,-0.06687344157615399,-0.037893756519658546,train
2010-03-19,620,-0.08678621966486796,-0.07951418343354805,train
2010-03-22,625,0.21253854131607205,0.22454117870122792,train
2010-03-23,626,-0.007271380882326593,-0.016446294782475217,train
2010-03-24,622,0.19686442689812972,0.1626196629960169,train
2010-03-25,623,0.1258592126658143,0.14582760011661156,train
2010-03-26,624,0.28811412842203143,0.2791226766570468,train
2010-03-29,624,0.2011910857838163,0.17833987132164306,train
2010-03-30,624,0.048437454805346274,0.024030424992617958,train
2010-03-31,622,0.2977469358587372,0.296032151911824,train
2010-04-01,625,0.2822602568317564,0.25835986975470376,train
2010-04-05,625,0.09106981688003742,0.07804651805083669,train
2010-04-06,625,0.07503640315583275,0.026827943972521914,train
2010-04-07,628,-0.046662729293226256,-0.023751644369395787,train
2010-04-08,627,0.25994519252248965,0.22497626140959348,train
2010-04-09,626,0.07565589258058249,0.12802751425988723,train
2010-04-12,627,0.10972126253402661,0.13107586239501806,train
2010-04-13,624,0.17527342433394055,0.1684773528125055,train
2010-04-14,623,0.08028825038708713,0.1431634039695901,train
2010-04-15,624,-0.07156757794944381,-0.05513769242213597,train
2010-04-16,619,-0.10186270738285051,-0.11398491057433,train
2010-04-19,610,0.3729867112252971,0.43142470615949113,train
2010-04-20,603,0.239192662770008,0.3005358842235582,train
2010-04-21,594,-0.0693567770233234,-0.12954676201091916,train
2010-04-22,596,0.2132539661768015,0.21210567398968228,train
2010-04-23,604,0.12678109745311542,0.22455729823242926,train
2010-04-26,607,0.03140503343079381,0.021679218859158335,train
2010-04-27,600,0.2396024514271024,0.23505411082288907,train
2010-04-28,583,0.2575034406825226,0.2840653456120168,train
2010-04-29,593,0.008477359023276839,0.05375363952059061,train
2010-04-30,604,0.22591174737585343,0.27432481697841454,train
2010-05-03,620,-0.011155219696966286,-0.10552356886916739,train
2010-05-04,618,-0.3970211990483472,-0.39746504674323724,train
