year,mcap_bucket,median_impact_bps,p75_impact_bps,median_adv20,median_ann_vol60
2010,rank_1_500,27.636822761894898,35.016350817162554,111136046.19925,0.2802885401327207
2010,rank_501_1000,33.32480849369236,42.555968764463216,21361691.0365,0.3379752442374854
2011,rank_1_500,27.556401725854293,38.94015457643832,119521708.21627751,0.279472921963368
2011,rank_501_1000,35.209270655313574,47.82721507534236,21596796.8,0.3570871788027141
2012,rank_1_500,23.153110000892212,30.393661164754025,106845471.5656525,0.23481539312941713
2012,rank_501_1000,29.30824554901407,38.582925162832844,20746426.55,0.29723986109252826
2013,rank_1_500,20.146180767072302,24.882928273263836,116528600.1294325,0.2043195647018516
2013,rank_501_1000,23.12550693457669,29.058299212909827,22049115.98675,0.23453544694213566
2014,rank_1_500,19.13243208902564,24.24773064983831,132652562.1305425,0.1940382766001331
2014,rank_501_1000,23.480340177366386,30.9281898104679,23757369.422,0.23813411284048966
2015,rank_1_500,22.45946555473634,28.362573375752255,147489087.45,0.22778055447016782
2015,rank_501_1000,25.568167156645472,32.73807341554655,26728277.2575,0.25930854309658613
2016,rank_1_500,23.646730880099934,30.871548218654272,154328183.575,0.2398216225648399
2016,rank_501_1000,28.76556214924942,37.34397546957274,27548574.289750002,0.2917360468811486
2017,rank_1_500,18.194235847527736,23.5110972729972,154185178.375,0.184523230056866
2017,rank_501_1000,23.492840366158813,29.57353598751677,30597842.73965,0.23826088789340358
2018,rank_1_500,23.40782533366782,28.981998495365893,185226705.89999998,0.23739867809629583
2018,rank_501_1000,26.317936182863328,33.92872045374488,35378400.95,0.26691258888744623
2019,rank_1_500,23.958029393821526,30.308489212030935,175374554.025,0.2429787657251895
2019,rank_501_1000,28.488862102022523,36.417145316743664,33472724.8815,0.28892979621478
2020,rank_1_500,36.904578266744885,60.54047502843467,202570930.35,0.3742807360932119
2020,rank_501_1000,46.065414322862,71.11019187604931,36874267.231125,0.4671885709295852
2021,rank_1_500,24.90388846645385,32.17122957042642,237484452.98543498,0.25257152756049484
2021,rank_501_1000,31.299525187477645,39.77512053815133,44406555.97050001,0.31743512259814927
2022,rank_1_500,32.856484869244795,42.69139066601265,253051127.85525,0.3332255757919845
2022,rank_501_1000,37.0948115144846,47.819124826133105,48626093.96825,0.3762100533578283
2023,rank_1_500,25.254897355038413,32.17330164037532,235222794.7,0.25613140742811213
2023,rank_501_1000,30.860436602331188,39.688105204102555,50286800.901625,0.31298195156687825
2024,rank_1_500,23.856015673599615,31.338056999622793,274840639.72475,0.24194415776895475
2024,rank_501_1000,29.807213002655644,38.30876039840497,59171551.5835,0.302300314689523
