year,binding_constraint,stock_days,aum
2019,TARGET_WEIGHT,195163,250000000
2019,VOL_FAIL,160,250000000
2020,ADV_FAIL,5898,250000000
2020,EARN_WINDOW,10050,250000000
2020,MISSING_LOOKBACK,1280,250000000
2020,PARTICIPATION_CAP,33869,250000000
2020,PRICE_FAIL,1699,250000000
2020,TARGET_WEIGHT,197842,250000000
2020,VOL_FAIL,2362,250000000
2021,ADV_FAIL,2100,250000000
2021,EARN_WINDOW,10741,250000000
2021,MISSING_LOOKBACK,1760,250000000
2021,PARTICIPATION_CAP,26014,250000000
2021,PRICE_FAIL,50,250000000
2021,TARGET_WEIGHT,211219,250000000
2021,VOL_FAIL,116,250000000
2022,ADV_FAIL,2061,250000000
2022,EARN_WINDOW,11009,250000000
2022,MISSING_LOOKBACK,1160,250000000
2022,PARTICIPATION_CAP,22151,250000000
2022,PRICE_FAIL,168,250000000
2022,TARGET_WEIGHT,214263,250000000
2022,VOL_FAIL,187,250000000
2023,ADV_FAIL,1730,250000000
2023,EARN_WINDOW,11363,250000000
2023,MISSING_LOOKBACK,1040,250000000
2023,PARTICIPATION_CAP,18538,250000000
2023,PRICE_FAIL,408,250000000
2023,TARGET_WEIGHT,216744,250000000
2023,VOL_FAIL,162,250000000
2024,ADV_FAIL,889,250000000
2024,EARN_WINDOW,11761,250000000
2024,MISSING_LOOKBACK,640,250000000
2024,PARTICIPATION_CAP,11538,250000000
2024,PRICE_FAIL,2,250000000
2024,TARGET_WEIGHT,226844,250000000
2024,VOL_FAIL,326,250000000
2010,ADV_FAIL,16603,1000000000
2010,EARN_WINDOW,1613,1000000000
2010,MCAP_FAIL,55332,1000000000
2010,MISSING_LOOKBACK,40000,1000000000
2010,PARTICIPATION_CAP,76172,1000000000
2010,PRICE_FAIL,7172,1000000000
2010,TARGET_WEIGHT,55108,1000000000
2011,ADV_FAIL,23047,1000000000
2011,EARN_WINDOW,3802,1000000000
2011,MCAP_FAIL,45716,1000000000
2011,MISSING_LOOKBACK,960,1000000000
2011,PARTICIPATION_CAP,100101,1000000000
2011,PRICE_FAIL,9186,1000000000
2011,TARGET_WEIGHT,69187,1000000000
2012,ADV_FAIL,24994,1000000000
2012,EARN_WINDOW,3612,1000000000
2012,MCAP_FAIL,43099,1000000000
2012,MISSING_LOOKBACK,1160,1000000000
2012,PARTICIPATION_CAP,105268,1000000000
2012,PRICE_FAIL,6911,1000000000
2012,TARGET_WEIGHT,64955,1000000000
2013,ADV_FAIL,29994,1000000000
2013,EARN_WINDOW,3433,1000000000
2013,MCAP_FAIL,27440,1000000000
