model,sample,window,n_days,net_sharpe,net_cum_return,max_drawdown,worst_day
ridge_xgb_ensemble,oos_2019_2024,2020Q1_covid,62,0.3303380882395603,0.009888776511439712,-0.07806546111415369,-0.02325480412010439
ridge_xgb_ensemble,oos_2019_2024,2022_drawdown,251,-1.4316377194918997,-0.11787152950605084,-0.13494160753859052,-0.022985342281703434
ridge_xgb_ensemble,oos_2019_2024,2023_recovery,250,0.8331404548199953,0.04874874916484018,-0.04075466422527352,-0.015609016331984863
ridge_xgb_ensemble,oos_2019_2024,full_window,1509,0.4236550222729146,0.20668973514111189,-0.20179373302636994,-0.045890336902211656
