date,n_long,n_short,gross_exposure,ret_gross,ret_net,cost_commission,cost_slippage,cost_borrow,turnover,max_pos,mean_pos
2019-01-02,19,19,0.65538069379721,-0.0032862621551547617,-0.0035550671461693512,6.5538069379721e-05,0.00019661420813916298,6.652713495705921e-06,0.65538069379721,25836125.885,4311715.090771119
2019-01-03,19,19,0.9201979489973859,0.0059578364144348,0.0055824540765104695,9.20197948997386e-05,0.0002760593846992158,7.30315832537608e-06,0.9201979489973859,59126286.63529451,6053933.874982801
2019-01-04,19,19,0.258161923224866,0.00041606353779905886,0.0003073717102035182,2.5816192322486595e-05,7.744857696745978e-05,5.427058305594175e-06,0.258161923224866,5718283.3725000005,1698433.7054267502
2019-01-07,19,19,0.51839138388148,0.003039769555355499,0.002827364665458552,5.1839138388148e-05,0.00015551741516444398,5.048336344354603e-06,0.51839138388148,23697145.47,3410469.63079921
2019-01-08,19,19,0.5943243808633,0.0013003742910131712,0.0010579276785022695,5.9432438086330006e-05,0.00017829731425898996,4.716860165581746e-06,0.5943243808633,29468752.1625,3910028.82146908
2019-01-09,19,19,0.9999999999999998,0.0013329756629361716,0.0009247834285990288,9.999999999999999e-05,0.00029999999999999987,8.192234337142854e-06,0.9999999999999998,27818507.394695327,6578947.368421051
2019-01-10,19,19,0.9999999999999999,-0.003390532188727763,-0.0038400851232064928,0.0001,0.0002999999999999999,4.955293447873002e-05,0.9999999999999999,32933962.87455683,6578947.368421051
2019-01-11,19,19,0.9773809286664641,-0.007249215911036566,-0.007648187126756695,9.773809286664641e-05,0.0002932142785999392,8.018844253543365e-06,0.9773809286664641,63588455.24,6430137.688595157
2019-01-14,19,19,0.7271553575144379,-0.0022362383089700086,-0.002534821698568928,7.271553575144379e-05,0.00021814660725433135,7.721246593144365e-06,0.7271553575144379,17166988.115000002,4783916.825752882
2019-01-15,19,19,0.6431787088116,-0.0005868210008619405,-0.0008517790017813011,6.431787088116001e-05,0.00019295361264347997,7.686517394720635e-06,0.6431787088116,14889815.383849997,4231438.873760525
2019-01-16,18,18,1.0,-0.0009679319249389416,-0.0013779808857937077,0.0001,0.0003,1.0048960854766159e-05,1.0,56827557.031432256,6944444.444444445
