window,model,aum,avg_per_stock_position,peak_per_stock_position,avg_gross_exposure,frac_days_caps_bind
oos_2019_2024,xgboost_only,50000000,1340860.4225566685,7425188.365349999,0.9998851027431656,0.0019880715705765406
oos_2019_2024,xgboost_only,250000000,6022610.984294424,106516533.38992499,0.900450446248223,0.27634194831013914
oos_2019_2024,xgboost_only,1000000000,13435724.6793785,481516533.389925,0.5030860691341361,0.7939032471835653
oos_2019_2024,ridge_xgb_ensemble,50000000,1340465.072030678,11532503.8974,0.999644169990647,0.0013253810470510272
oos_2019_2024,ridge_xgb_ensemble,250000000,5810469.520435736,104414812.08726522,0.8685038820667672,0.3843605036447979
oos_2019_2024,ridge_xgb_ensemble,1000000000,10578892.376743998,479414812.08726513,0.3956762974341954,0.8939695162359178
